name,price,rr
"POCO M4 5G (Cool Blue, 128 GB)","₹14,999","31,794 Ratings & 2,373 Reviews"
"REDMI 10 (Midnight Black, 128 GB)","₹11,999","28,068 Ratings & 1,976 Reviews"
"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹13,099","33,596 Ratings & 3,807 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹6,999","44,785 Ratings & 2,848 Reviews"
"REDMI 10 (Midnight Black, 64 GB)","₹9,999","2,09,091 Ratings & 13,185 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","1,34,619 Ratings & 7,764 Reviews"
"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999","27,093 Ratings & 1,059 Reviews"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹15,999","16,193 Ratings & 1,266 Reviews"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,999","27,732 Ratings & 1,553 Reviews"
"I Kall King Talking, Contact icon and Auto Call Recording",₹744,"16,497 Ratings & 1,487 Reviews"
"Infinix Smart 6 HD (Force Black, 32 GB)","₹5,999","27,732 Ratings & 1,553 Reviews"
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,999","27,732 Ratings & 1,553 Reviews"
"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999","3,970 Ratings & 462 Reviews"
GREENBERRI G370,"₹1,299",9 Ratings & 7 Reviews
"POCO M4 5G (Power Black, 128 GB)","₹14,999","31,794 Ratings & 2,373 Reviews"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹10,599","33,670 Ratings & 3,194 Reviews"
"REDMI A1+ (Light Green, 32 GB)","₹6,999",848 Ratings & 59 Reviews
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹15,990","1,398 Ratings & 154 Reviews"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹9,599","31,909 Ratings & 3,641 Reviews"
"POCO M4 5G (Yellow, 64 GB)","₹12,999","63,305 Ratings & 4,656 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490",583 Ratings & 62 Reviews
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999","1,76,077 Ratings & 13,830 Reviews"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹18,999","3,616 Ratings & 608 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,149","23,748 Ratings & 2,220 Reviews"
"POCO M4 Pro (Cool Blue, 64 GB)","₹12,999","1,61,445 Ratings & 14,341 Reviews"
